#1
double CT_Jtheta(16,8)   # CT=f(J, theta)							
0.00	15.0	20.0	25.0	30.0	35.0	40.0	45.0
0.00	0.14000	0.15700	0.16000	0.16700	0.17400	0.17800	0.18000
0.20	0.11800	0.15100	0.15500	0.16300	0.17000	0.17500	0.18200
0.40	0.08500	0.12600	0.15200	0.15700	0.16400	0.17200	0.18500
0.60	0.04800	0.09200	0.13500	0.15300	0.16000	0.16600	0.18700
0.80	0.00400	0.05200	0.10000	0.14300	0.15500	0.15800	0.17800
1.00	-0.03000	0.01000	0.06000	0.11200	0.14600	0.14700	0.16700
1.20	-0.03000	-0.03000	0.02000	0.07200	0.12000	0.14600	0.16000
1.40	-0.03000	-0.03000	-0.02000	0.03000	0.08200	0.13000	0.15800
1.60	-0.03000	-0.03000	-0.02000	-0.00900	0.04500	0.09800	0.15300
1.80	-0.03000	-0.03000	-0.02000	-0.00900	0.00800	0.06500	0.12800
2.00	-0.03000	-0.03000	-0.02000	-0.00900	-0.03000	0.03200	0.10200
2.20	-0.03000	-0.03000	-0.02000	-0.00900	-0.03000	0.00000	0.07200
2.40	-0.03000	-0.03000	-0.02000	-0.00900	-0.03000	-0.01000	0.04000
2.60	-0.03000	-0.03000	-0.02000	-0.00900	-0.03000	-0.01000	0.00900
2.80	-0.03000	-0.03000	-0.02000	-0.00900	-0.03000	-0.01000	-0.02000

double CP_Jtheta(16,8)   # CT=f(J, theta)							
0.00	15.0	20.0	25.0	30.0	35.0	40.0	45.0
0.00	0.06000	0.09000	0.15000	0.21200	0.26400	0.31000	0.39000
0.20	0.05800	0.08800	0.13800	0.19800	0.25200	0.30600	0.39200
0.40	0.05000	0.08500	0.12800	0.18400	0.23800	0.29800	0.39100
0.60	0.03500	0.07300	0.12000	0.17100	0.22300	0.28700	0.38300
0.80	0.00400	0.04800	0.10000	0.15800	0.21100	0.27000	0.36700
1.00	-0.04000	0.01100	0.07000	0.13800	0.19900	0.25100	0.34700
1.20	-0.04000	-0.04000	0.02700	0.10000	0.17700	0.24800	0.33300
1.40	-0.04000	-0.04000	-0.02600	0.05000	0.13800	0.22800	0.32800
1.60	-0.04000	-0.04000	-0.02600	-0.01000	0.08400	0.19000	0.32100
1.80	-0.04000	-0.04000	-0.02600	-0.01000	0.02500	0.14000	0.28500
2.00	-0.04000	-0.04000	-0.02600	-0.01000	-0.04000	0.08800	0.24200
2.20	-0.04000	-0.04000	-0.02600	-0.01000	-0.04000	0.03000	0.19800
2.40	-0.04000	-0.04000	-0.02600	-0.01000	-0.04000	-0.03000	0.14000
2.60	-0.04000	-0.04000	-0.02600	-0.01000	-0.04000	-0.03000	0.06000
2.80	-0.04000	-0.04000	-0.02600	-0.01000	-0.04000	-0.03000	-0.02000

