#1
double Wc_PR_NcqNcDes(16,11)   # Wc-PR-NcqNcDes										
0	1.000	1.300	1.690	2.197	2.856	3.713	4.827	6.275	8.157	10.604
0.1	0.000	137.534	183.868	194.429	195.890	195.997	196.000	196.000	196.000	196.000
0.2	0.000	135.288	180.381	190.521	191.898	191.997	192.000	192.000	192.000	192.000
0.3	0.000	133.022	176.882	186.608	187.907	187.997	188.000	188.000	188.000	188.000
0.4	0.000	130.736	173.370	182.692	183.914	183.998	184.000	184.000	184.000	184.000
0.5	0.000	128.429	169.845	178.772	179.921	179.998	180.000	180.000	180.000	180.000
0.6	0.000	126.102	166.308	174.848	175.928	175.998	176.000	176.000	176.000	176.000
0.7	0.000	123.754	162.758	170.922	171.934	171.998	172.000	172.000	172.000	172.000
0.8	0.000	121.385	159.196	166.991	167.940	167.998	168.000	168.000	168.000	168.000
0.9	0.000	118.995	155.621	163.058	163.945	163.999	164.000	164.000	164.000	164.000
1.0	0.000	116.584	152.034	159.121	159.950	159.999	160.000	160.000	160.000	160.000
1.1	0.000	114.151	148.435	155.181	155.955	155.999	156.000	156.000	156.000	156.000
1.2	0.000	111.696	144.824	151.239	151.959	151.999	152.000	152.000	152.000	152.000
1.3	0.000	109.219	141.200	147.293	147.963	147.999	148.000	148.000	148.000	148.000
1.4	0.000	106.720	137.565	143.344	143.966	143.999	144.000	144.000	144.000	144.000
1.5	0.000	104.198	133.918	139.393	139.970	139.999	140.000	140.000	140.000	140.000

double eff_PR_NcqNcDes(16,11)   # eff-PR-NcqNcDes										
0	1	1.3	1.69	2.197	2.8561	3.71293	4.826809	6.2748517	8.15730721	10.60449937
0.1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
0.2	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
0.3	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
0.4	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
0.5	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
0.6	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
0.7	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
0.8	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
1.1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
1.2	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
1.3	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
1.4	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
1.5	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9

